"Source","Meand13C","SDd13C","Meand15N","SDd15N","n"
"Birds",-23.7633333333333,0.777165790978133,7.31666666666667,0.234833274189725,6
"Lemming",-27.8678260869565,1.20388747783526,1.51652173913043,0.769584354734024,23
"Marine",-19.1975,0.940144865656912,11.7185,1.10568518884993,20
"Ptarmigan",-25.5068181818182,0.819514294966036,1.17545454545455,0.831067742770463,22
"Reindeer",-25.4446153846154,1.19340280559845,2.26,1.44649576563501,13
"Voles",-27.7569230769231,0.72735118312253,3.58,1.40994089710645,13
